participantID,field,duration,subject_condition,graph_condition,group,question,time
s51311,Humanities,2252,warning,control,B,36,31.024
s51311,Humanities,2252,warning,truncated,B,37,21.129
s51311,Humanities,2252,warning,control,B,38,51.025
s51311,Humanities,2252,warning,truncated,B,39,48.917
s51311,Humanities,2252,warning,control,B,40,11.046
s51312,Humanities,2104,no warning,NA,A,instructions,7.453
s51312,Humanities,2104,no warning,control,A,1,15.042
s51312,Humanities,2104,no warning,truncated,A,2,34.743
s51312,Humanities,2104,no warning,control,A,3,22.324
s51312,Humanities,2104,no warning,truncated,A,4,99.536
s51312,Humanities,2104,no warning,control,A,5,10.941
s51312,Humanities,2104,no warning,truncated,A,6,10.793
s51312,Humanities,2104,no warning,control,A,7,21.1
s51312,Humanities,2104,no warning,truncated,A,8,15.071
s51312,Humanities,2104,no warning,control,A,9,19.665
s51312,Humanities,2104,no warning,truncated,A,10,34.025
s51312,Humanities,2104,no warning,control,A,11,31.074
s51312,Humanities,2104,no warning,truncated,A,12,17.747
s51312,Humanities,2104,no warning,control,A,13,22.194
s51312,Humanities,2104,no warning,truncated,A,14,46.982
s51312,Humanities,2104,no warning,control,A,15,27.753
s51312,Humanities,2104,no warning,truncated,A,16,9.951
s51312,Humanities,2104,no warning,control,A,17,20.728
s51312,Humanities,2104,no warning,truncated,A,18,22.697
s51312,Humanities,2104,no warning,control,A,19,23.712
s51312,Humanities,2104,no warning,truncated,A,20,101.683
s51312,Humanities,2104,no warning,control,A,21,33.46
s51312,Humanities,2104,no warning,truncated,A,22,22.879
s51312,Humanities,2104,no warning,control,A,23,18.354
s51312,Humanities,2104,no warning,truncated,A,24,33.567
s51312,Humanities,2104,no warning,control,A,25,13.554
s51312,Humanities,2104,no warning,truncated,A,26,16.189
s51312,Humanities,2104,no warning,control,A,27,29.794
s51312,Humanities,2104,no warning,truncated,A,28,14.872
s51312,Humanities,2104,no warning,control,A,29,27.597
s51312,Humanities,2104,no warning,truncated,A,30,24.955
s51312,Humanities,2104,no warning,control,A,31,199.05
s51312,Humanities,2104,no warning,truncated,A,32,31.111
s51312,Humanities,2104,no warning,control,A,33,265.435
s51312,Humanities,2104,no warning,truncated,A,34,12.91
s51312,Humanities,2104,no warning,control,A,35,23.056
s51312,Humanities,2104,no warning,truncated,A,36,15.519
s51312,Humanities,2104,no warning,control,A,37,17.867
s51312,Humanities,2104,no warning,truncated,A,38,11.162
s51312,Humanities,2104,no warning,control,A,39,29.279
s51312,Humanities,2104,no warning,truncated,A,40,13.711
s51313,Humanities,8525,no warning,NA,A,instructions,2.334
s51313,Humanities,8525,no warning,control,A,1,98.446
s51313,Humanities,8525,no warning,truncated,A,2,36.501
s51313,Humanities,8525,no warning,control,A,3,9.781
s51313,Humanities,8525,no warning,truncated,A,4,6.797
