participantID,duration,subject_condition,graph_condition,group,question,time
s31097,1983,warning,control,A,31,130.65
s31097,1983,warning,truncated,A,32,207.267
s31097,1983,warning,control,A,33,28.759
s31097,1983,warning,truncated,A,34,4.581
s31097,1983,warning,control,A,35,8.636
s31097,1983,warning,truncated,A,36,4.684
s31097,1983,warning,control,A,37,15.545
s31097,1983,warning,truncated,A,38,5.549
s31097,1983,warning,control,A,39,23.402
s31097,1983,warning,truncated,A,40,4.474
s31098,3522,warning,NA,A,instructions,10.435
s31098,3522,warning,control,A,1,3.683
s31098,3522,warning,truncated,A,2,0.386
s31098,3522,warning,control,A,3,1.761
s31098,3522,warning,truncated,A,4,0.467
s31098,3522,warning,control,A,5,0.655
s31098,3522,warning,truncated,A,6,0.57
s31098,3522,warning,control,A,7,0.448
s31098,3522,warning,truncated,A,8,0.615
s31098,3522,warning,control,A,9,0.942
s31098,3522,warning,truncated,A,10,0.434
s31098,3522,warning,control,A,11,83.545
s31098,3522,warning,truncated,A,12,0.471
s31098,3522,warning,control,A,13,0.562
s31098,3522,warning,truncated,A,14,1.696
s31098,3522,warning,control,A,15,0.408
s31098,3522,warning,truncated,A,16,1.173
s31098,3522,warning,control,A,17,0.441
s31098,3522,warning,truncated,A,18,0.532
s31098,3522,warning,control,A,19,0.465
s31098,3522,warning,truncated,A,20,1.546
s31098,3522,warning,control,A,21,0.505
s31098,3522,warning,truncated,A,22,1.477
s31098,3522,warning,control,A,23,0.535
s31098,3522,warning,truncated,A,24,1.55
s31098,3522,warning,control,A,25,1.236
s31098,3522,warning,truncated,A,26,1.293
s31098,3522,warning,control,A,27,0.549
s31098,3522,warning,truncated,A,28,2.919
s31098,3522,warning,control,A,29,0.417
s31098,3522,warning,truncated,A,30,1.005
s31098,3522,warning,control,A,31,0.463
s31098,3522,warning,truncated,A,32,1.772
s31098,3522,warning,control,A,33,2.53
s31098,3522,warning,truncated,A,34,0.507
s31098,3522,warning,control,A,35,0.36
s31098,3522,warning,truncated,A,36,0.44
s31098,3522,warning,control,A,37,0.57
s31098,3522,warning,truncated,A,38,3.247
s31098,3522,warning,control,A,39,0.36
s31098,3522,warning,truncated,A,40,0.442
s31099,646,no warning,NA,B,instructions,6.032
s31099,646,no warning,truncated,B,1,6.443
s31099,646,no warning,control,B,2,17.717
s31099,646,no warning,truncated,B,3,8.655
s31099,646,no warning,control,B,4,6.538
s31099,646,no warning,truncated,B,5,8.697
s31099,646,no warning,control,B,6,7.792
s31099,646,no warning,truncated,B,7,5.052
s31099,646,no warning,control,B,8,6.397
s31099,646,no warning,truncated,B,9,4.828
s31099,646,no warning,control,B,10,16.818
s31099,646,no warning,truncated,B,11,4.675
s31099,646,no warning,control,B,12,14.036
s31099,646,no warning,truncated,B,13,6.759
s31099,646,no warning,control,B,14,5.493
s31099,646,no warning,truncated,B,15,27.649
s31099,646,no warning,control,B,16,12.175
s31099,646,no warning,truncated,B,17,8.706
s31099,646,no warning,control,B,18,15.797
s31099,646,no warning,truncated,B,19,8.37
s31099,646,no warning,control,B,20,6.847
s31099,646,no warning,truncated,B,21,25.466
s31099,646,no warning,control,B,22,6.116
s31099,646,no warning,truncated,B,23,6.669
s31099,646,no warning,control,B,24,9.255
s31099,646,no warning,truncated,B,25,13.31
s31099,646,no warning,control,B,26,12.597
s31099,646,no warning,truncated,B,27,7.201
s31099,646,no warning,control,B,28,10.367
s31099,646,no warning,truncated,B,29,7.768
s31099,646,no warning,control,B,30,7.75
s31099,646,no warning,truncated,B,31,25.933
s31099,646,no warning,control,B,32,10.636
s31099,646,no warning,truncated,B,33,5.723
s31099,646,no warning,control,B,34,26.829
s31099,646,no warning,truncated,B,35,12.59
s31099,646,no warning,control,B,36,5.438
s31099,646,no warning,truncated,B,37,8.395
s31099,646,no warning,control,B,38,30.824
s31099,646,no warning,truncated,B,39,12.108
s31099,646,no warning,control,B,40,6.157
s31100,436,warning,NA,B,instructions,6.644
s31100,436,warning,truncated,B,1,6.881
s31100,436,warning,control,B,2,8.231
s31100,436,warning,truncated,B,3,5.08
s31100,436,warning,control,B,4,7.217
s31100,436,warning,truncated,B,5,7.893
s31100,436,warning,control,B,6,3.998
s31100,436,warning,truncated,B,7,5.215
s31100,436,warning,control,B,8,5.424
s31100,436,warning,truncated,B,9,5.514
s31100,436,warning,control,B,10,4.881
s31100,436,warning,truncated,B,11,8.86
