participantID,condition,group,question,rating
s11019,control,B,30,4
s11019,truncated,B,31,6
s11019,control,B,32,5
s11019,truncated,B,33,6
s11019,control,B,34,4
s11019,truncated,B,35,6
s11019,control,B,36,4
s11019,truncated,B,37,5
s11019,control,B,38,5
s11019,truncated,B,39,2
s11019,control,B,40,3
s11020,truncated,B,1,4
s11020,control,B,2,4
s11020,truncated,B,3,4
s11020,control,B,4,4
s11020,truncated,B,5,7
s11020,control,B,6,3
s11020,truncated,B,7,7
s11020,control,B,8,2
s11020,truncated,B,9,5
s11020,control,B,10,2
s11020,truncated,B,11,4
s11020,control,B,12,4
s11020,truncated,B,13,7
s11020,control,B,14,7
s11020,truncated,B,15,7
s11020,control,B,16,5
s11020,truncated,B,17,3
s11020,control,B,18,2
s11020,truncated,B,19,6
s11020,control,B,20,4
s11020,truncated,B,21,2
s11020,control,B,22,2
s11020,truncated,B,23,7
s11020,control,B,24,2
s11020,truncated,B,25,6
s11020,control,B,26,4
s11020,truncated,B,27,3
s11020,control,B,28,4
s11020,truncated,B,29,7
s11020,control,B,30,3
s11020,truncated,B,31,6
s11020,control,B,32,7
s11020,truncated,B,33,6
s11020,control,B,34,3
s11020,truncated,B,35,7
s11020,control,B,36,3
s11020,truncated,B,37,4
s11020,control,B,38,6
s11020,truncated,B,39,2
s11020,control,B,40,3
s11021,control,A,1,2
s11021,truncated,A,2,5
s11021,control,A,3,2
s11021,truncated,A,4,6
s11021,control,A,5,5
s11021,truncated,A,6,4
s11021,control,A,7,5
s11021,truncated,A,8,5
s11021,control,A,9,4
s11021,truncated,A,10,4
s11021,control,A,11,2
s11021,truncated,A,12,7
s11021,control,A,13,6
s11021,truncated,A,14,7
s11021,control,A,15,4
s11021,truncated,A,16,7
s11021,control,A,17,2
s11021,truncated,A,18,3
s11021,control,A,19,5
s11021,truncated,A,20,7
s11021,control,A,21,3
s11021,truncated,A,22,2
s11021,control,A,23,6
s11021,truncated,A,24,2
s11021,control,A,25,5
s11021,truncated,A,26,6
s11021,control,A,27,1
s11021,truncated,A,28,7
s11021,control,A,29,6
s11021,truncated,A,30,3
s11021,control,A,31,3
s11021,truncated,A,32,7
s11021,control,A,33,3
s11021,truncated,A,34,5
s11021,control,A,35,5
s11021,truncated,A,36,5
s11021,control,A,37,4
s11021,truncated,A,38,7
s11021,control,A,39,1
s11021,truncated,A,40,5
s11022,truncated,B,1,4
s11022,control,B,2,4
s11022,truncated,B,3,4
s11022,control,B,4,4
s11022,truncated,B,5,5
s11022,control,B,6,3
s11022,truncated,B,7,7
s11022,control,B,8,2
s11022,truncated,B,9,4
s11022,control,B,10,3
s11022,truncated,B,11,4
s11022,control,B,12,5
s11022,truncated,B,13,7
s11022,control,B,14,4
s11022,truncated,B,15,6
s11022,control,B,16,5
s11022,truncated,B,17,2
s11022,control,B,18,1
s11022,truncated,B,19,6
s11022,control,B,20,4
s11022,truncated,B,21,3
s11022,control,B,22,2
s11022,truncated,B,23,7
s11022,control,B,24,1
s11022,truncated,B,25,7
s11022,control,B,26,4
s11022,truncated,B,27,3
s11022,control,B,28,5
s11022,truncated,B,29,7
s11022,control,B,30,2
s11022,truncated,B,31,5
s11022,control,B,32,6
s11022,truncated,B,33,6
s11022,control,B,34,3
s11022,truncated,B,35,4
s11022,control,B,36,4
s11022,truncated,B,37,4
s11022,control,B,38,5
s11022,truncated,B,39,1
s11022,control,B,40,3
s11023,control,A,1,4
s11023,truncated,A,2,4
s11023,control,A,3,1
s11023,truncated,A,4,5
s11023,control,A,5,4
s11023,truncated,A,6,5
s11023,control,A,7,4
s11023,truncated,A,8,4
s11023,control,A,9,3
s11023,truncated,A,10,3
s11023,control,A,11,3
s11023,truncated,A,12,5
s11023,control,A,13,5
s11023,truncated,A,14,6
s11023,control,A,15,5
s11023,truncated,A,16,6
s11023,control,A,17,2
s11023,truncated,A,18,4
s11023,control,A,19,5
s11023,truncated,A,20,5
s11023,control,A,21,2
s11023,truncated,A,22,2
s11023,control,A,23,6
s11023,truncated,A,24,3
s11023,control,A,25,5
s11023,truncated,A,26,5
s11023,control,A,27,2
s11023,truncated,A,28,5
s11023,control,A,29,3
s11023,truncated,A,30,3
s11023,control,A,31,3
s11023,truncated,A,32,7
s11023,control,A,33,2
s11023,truncated,A,34,5
s11023,control,A,35,3
s11023,truncated,A,36,3
s11023,control,A,37,4
s11023,truncated,A,38,7
s11023,control,A,39,1
s11023,truncated,A,40,6
s11024,control,A,1,2
s11024,truncated,A,2,6
s11024,control,A,3,3
s11024,truncated,A,4,7
s11024,control,A,5,4
s11024,truncated,A,6,5
s11024,control,A,7,4
s11024,truncated,A,8,6
s11024,control,A,9,3
s11024,truncated,A,10,3
s11024,control,A,11,2
s11024,truncated,A,12,7
s11024,control,A,13,7
s11024,truncated,A,14,7
s11024,control,A,15,4
s11024,truncated,A,16,7
s11024,control,A,17,2
s11024,truncated,A,18,3
s11024,control,A,19,5
s11024,truncated,A,20,7
s11024,control,A,21,2
s11024,truncated,A,22,2
s11024,control,A,23,7
s11024,truncated,A,24,2
s11024,control,A,25,5
s11024,truncated,A,26,6
s11024,control,A,27,2
s11024,truncated,A,28,6
s11024,control,A,29,7
s11024,truncated,A,30,2
s11024,control,A,31,4
s11024,truncated,A,32,7
s11024,control,A,33,2
s11024,truncated,A,34,5
s11024,control,A,35,6
s11024,truncated,A,36,5
s11024,control,A,37,4
s11024,truncated,A,38,7
s11024,control,A,39,1
s11024,truncated,A,40,5
